asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
ES,0,2017-06-19,2018-11-21,2018-11-30,2020-06-10,285,290,0.3517,0.0049,0.4207,0.2862,0.2931
ES,1,2017-06-19,2020-06-03,2020-06-11,2021-12-16,575,290,0.5103,0.3374,0.5,0.0621,0.4379
ES,2,2017-06-19,2021-12-09,2021-12-17,2023-06-07,865,290,0.4931,0.0,0.931,0.0069,0.0621
ES,3,2017-06-19,2023-05-31,2023-06-08,2024-10-23,1155,290,0.5138,0.2387,0.531,0.0034,0.4655
ES,4,2017-06-19,2024-10-08,2024-10-24,2026-05-08,1445,290,0.5276,0.0556,0.6034,0.0172,0.3793
NQ,0,2017-06-05,2018-11-20,2018-11-29,2020-06-25,294,299,0.2475,-0.1937,0.2575,0.3813,0.3612
NQ,1,2017-06-05,2020-06-18,2020-06-26,2021-12-08,593,299,0.5151,0.3557,0.3579,0.1405,0.5017
NQ,2,2017-06-05,2021-12-01,2021-12-09,2023-05-26,892,299,0.4649,-0.0672,0.893,0.0033,0.1037
NQ,3,2017-06-05,2023-05-19,2023-05-30,2024-11-19,1191,299,0.5418,0.2,0.5819,0.0033,0.4147
NQ,4,2017-06-05,2024-11-12,2024-11-20,2026-05-12,1490,299,0.5151,0.171,0.6321,0.0134,0.3545
